ticket_id,ticket_text,issue_type,urgency_level,product,processed_text,text_length
91,Order #70536 for PowerMax Battery is 4 days late. Ordered on 01 May.,Late Delivery,Unknown,PowerMax Battery,order powermax battery day late ordered may,68
92,I ordered  but got SoundWave 300 instead. My order number is #93122.,Wrong Item,Medium,PhotoSnap Cam,ordered got soundwave instead order number,68
93,I ordered SmartWatch V2 but got ProTab X1 instead. My order number is #76301.,Wrong Item,High,SmartWatch V2,ordered smartwatch v got protab x instead order number,77
94,Facing installation issue with PowerMax Battery. Setup fails at step 1.,Installation Issue,Low,PowerMax Battery,facing installation issue powermax battery setup fails step,71
95,Order #84203 for Vision LED TV is 5 days late. Ordered on 30 April.,Late Delivery,High,Vision LED TV,order vision led tv day late ordered april,67
96,Facing installation issue with PowerMax Battery. Setup fails at step 6. Delivery expected by 04 May.,Installation Issue,Medium,PowerMax Battery,facing installation issue powermax battery setup fails step delivery expected may,100
97,"Can you tell me more about teh ProTab X1 warranty? Also, is it available in white?",General Inquiry,High,ProTab X1,tell teh protab x warranty also available white,82
98,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Medium,SoundWave 300,cant log account keep showing blocked help,56
99,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in black?",General Inquiry,Medium,SmartWatch V2,tell smartwatch v warranty also available black,86
100,Facing installation issue with SoundWave 300. Setup fails at step 4.,Installation Issue,Medium,SoundWave 300,facing installation issue soundwave setup fails step,68
101,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,Medium,UltraClean Vacuum,cant log account keep showing unknown issue help,62
102,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,High,ProTab X1,tell protab x warranty also available blue,81
103,Payment problem for order #77517. Need urgent help.,Billing Problem,High,UltraClean Vacuum,payment problem order need urgent help,51
104,Payment issue for my PowerMax Battery. I was charged twice for order #97621.,Billing Problem,High,PowerMax Battery,payment issue powermax battery charged twice order,76
105,"Can you tell me more about teh ProTab X1 warranty? Also, is it available in black? Also, I contacted support on 28 April but got no response.",Unknown,Low,ProTab X1,tell teh protab x warranty also available black also contacted support april got response,141
106,Payment issue for my ProTab X1. I was underbilled for order #71399. Delivery expected by 30 March.,Billing Problem,High,ProTab X1,payment issue protab x underbilled order delivery expected march,98
107,Order #36632 for EcoBreeze AC is 15 days late. Ordered on 13 May.,Late Delivery,High,EcoBreeze AC,order ecobreeze ac day late ordered may,65
108,Payment issue fr mi SmartWatch V2. I was debited incorrectly fr order #98192.,Billing Problem,Low,SmartWatch V2,payment issue fr mi smartwatch v debited incorrectly fr order,77
109,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in white?",General Inquiry,Unknown,EcoBreeze AC,tell ecobreeze ac warranty also available white,85
110,Can't log in to my account. Keeps showing reset required. Help!,Unknown,Low,PhotoSnap Cam,cant log account keep showing reset required help,63
111,Order #28158 for  is 6 days late. Ordered on 05 May.,Late Delivery,Medium,UltraClean Vacuum,order day late ordered may,52
112,Can't log in to my account. Keeps showing error. Help!,Account Access,Unknown,SoundWave 300,cant log account keep showing error help,54
113,Is this item in stock?,General Inquiry,High,ProTab X1,item stock,22
114,Can't log in to mi account. Keeps showing unknown issue. Help!,Account Access,Medium,PowerMax Battery,cant log mi account keep showing unknown issue help,62
115,I ordered RoboChef Blender but got ProTab X1 instead. My order number is #79479.,Wrong Item,Low,RoboChef Blender,ordered robochef blender got protab x instead order number,80
116,Order #85238 for PowerMax Battery is 3 days late. Ordered on 15 April.,Late Delivery,Medium,PowerMax Battery,order powermax battery day late ordered april,70
117,"Facing installation issue with Vision LED TV. Setup fails at step 4. Also, I contacted support on 24 April but got no response.",Installation Issue,Low,Vision LED TV,facing installation issue vision led tv setup fails step also contacted support april got response,127
118,Facing installation issue with FitRun Treadmill. Setup fails at step 1. Delivery expected by 19 May.,Installation Issue,Medium,FitRun Treadmill,facing installation issue fitrun treadmill setup fails step delivery expected may,100
119,Vision LED TV is malfunction. It stopped working after just 6 days.,Product Defect,High,Vision LED TV,vision led tv malfunction stopped working day,67
120,Facing installation issue with UltraClean Vacuum. Setup fails at step 6.,Unknown,Medium,UltraClean Vacuum,facing installation issue ultraclean vacuum setup fails step,72
121,Order #55525 for RoboChef Blender is 1 days late. Ordered on 08 March.,Late Delivery,Low,RoboChef Blender,order robochef blender day late ordered march,70
122,Payment issue for my . I was overbilled for order #65725.,Billing Problem,High,Vision LED TV,payment issue overbilled order,57
123,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white?",General Inquiry,High,ProTab X1,tell protab x warranty also available white,82
124,SmartWatch V2 is defective. It stopped working after just 1 days.,Product Defect,High,SmartWatch V2,smartwatch v defective stopped working day,65
125,Vision LED TV is damaged. It stopped working after just 4 days.,Unknown,Unknown,Vision LED TV,vision led tv damaged stopped working day,63
126,Can't log in to my account. Keeps showing error. Help!,Account Access,High,ProTab X1,cant log account keep showing error help,54
127,"Can't log in to my account. Keeps showing captcha failed. Help! Also, I contacted support on 06 April but got no response.",Account Access,Low,Vision LED TV,cant log account keep showing captcha failed help also contacted support april got response,122
128,Order #68715 for RoboChef Blender is 17 days late. Ordered on 19 April.,Late Delivery,Low,RoboChef Blender,order robochef blender day late ordered april,71
129,Product info needed.,General Inquiry,Medium,FitRun Treadmill,product info needed,20
130,Payment issue for my FitRun Treadmill. I was overbilled for order #17828.,Billing Problem,Unknown,FitRun Treadmill,payment issue fitrun treadmill overbilled order,73
131,Facing installation issue with EcoBreeze AC. Setup fails at step 6.,Installation Issue,Low,EcoBreeze AC,facing installation issue ecobreeze ac setup fails step,67
132,"PhotoSnap Cam is glitchy. It stopped working after just 12 days. Also, I contacted support on 29 April but got no response.",Product Defect,High,PhotoSnap Cam,photosnap cam glitchy stopped working day also contacted support april got response,123
133,"Payment issue for my SmartWatch V2. I was underbilled for order #94863. Also, I contacted support on 09 April but got no response.",Billing Problem,High,SmartWatch V2,payment issue smartwatch v underbilled order also contacted support april got response,130
134,ProTab X1 is glitchy. It stopped working after just 12 days.,Product Defect,Medium,ProTab X1,protab x glitchy stopped working day,60
135,Order #97549 for ProTab X1 is 5 days late. Ordered on 30 April.,Late Delivery,Medium,ProTab X1,order protab x day late ordered april,63
136,Facing installation issue with PhotoSnap Cam. Setup fails at step 6.,Installation Issue,High,PhotoSnap Cam,facing installation issue photosnap cam setup fails step,68
137,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,High,PowerMax Battery,cant log account keep showing captcha failed help,63
138,"Order #58122 for RoboChef Blender is 9 days late. Ordered on 10 May. Also, I contacted support on 10 May but got no response.",Late Delivery,High,RoboChef Blender,order robochef blender day late ordered may also contacted support may got response,125
139,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,ProTab X1,cant log account keep showing reset required help,63
140,Payment issue for my UltraClean Vacuum. I was debited incorrectly for order #76140.,Billing Problem,Medium,UltraClean Vacuum,payment issue ultraclean vacuum debited incorrectly order,83
141,,Installation Issue,Low,Vision LED TV,,0
142,FitRun Treadmill is charged. It stopped working after just 12 days.,Product Defect,High,FitRun Treadmill,fitrun treadmill charged stopped working day,67
143,Can't log in to my account. Keeps showing error. Help!,Account Access,Low,RoboChef Blender,cant log account keep showing error help,54
144,I ordered EcoBreeze AC but got UltraClean Vacuum instead. My order number is #97605.,Wrong Item,High,EcoBreeze AC,ordered ecobreeze ac got ultraclean vacuum instead order number,84
145,Account problem. Assistance needed.,Account Access,Unknown,FitRun Treadmill,account problem assistance needed,35
146,Payment issue for my PowerMax Battery. I was overbilled for order #18696.,Billing Problem,Low,PowerMax Battery,payment issue powermax battery overbilled order,73
147,SmartWatch V2 is no response. It stopped working after just 5 days. Delivery expected by 25 April.,Product Defect,High,SmartWatch V2,smartwatch v response stopped working day delivery expected april,98
148,Vision LED TV is broken. It stopped working after just 1 days.,Product Defect,High,Vision LED TV,vision led tv broken stopped working day,62
149,Facing installation issue with . Setup fails at step 2.,Unknown,High,PowerMax Battery,facing installation issue setup fails step,55
150,Order #31364 placed on 15 May still not here.,Late Delivery,High,EcoBreeze AC,order placed may still,45
151,Both my PowerMax Battery and FitRun Treadmill are not received. Both giving issues. Delivery expected by 16 April.,Product Defect,Low,PowerMax Battery,powermax battery fitrun treadmill received giving issue delivery expected april,114
152,Both my PhotoSnap Cam and Vision LED TV are faulty. Both giving issues.,Product Defect,High,PhotoSnap Cam,photosnap cam vision led tv faulty giving issue,71
153, is not working. It stopped working after just 12 days.,Product Defect,High,ProTab X1,working stopped working day,55
154,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,Unknown,ProTab X1,tell protab x warranty also available blue,81
155,"Payment issue for my . I was not refunded for order #59838. Also, I contacted support on 14 May but got no response.",Billing Problem,Low,FitRun Treadmill,payment issue refunded order also contacted support may got response,116
156,"Can you tell me more about teh EcoBreeze AC warranty? Also, is it available in black?",General Inquiry,Low,EcoBreeze AC,tell teh ecobreeze ac warranty also available black,85
157,Order #58051 for RoboChef Blender is 16 days late. Ordered on 07 March.,Late Delivery,High,RoboChef Blender,order robochef blender day late ordered march,71
158,Payment issue for my EcoBreeze AC. I was charged twice for order #26025.,Billing Problem,Low,EcoBreeze AC,payment issue ecobreeze ac charged twice order,72
159,Order #40339 for PhotoSnap Cam is 13 days late. Ordered on 25 April.,Late Delivery,Low,PhotoSnap Cam,order photosnap cam day late ordered april,68
160,Payment issue fr mi RoboChef Blender. I was charged twice fr order #81706.,Billing Problem,Medium,RoboChef Blender,payment issue fr mi robochef blender charged twice fr order,74
161,Order #90105 for UltraClean Vacuum is 1 days late. Ordered on 03 March.,Late Delivery,Low,UltraClean Vacuum,order ultraclean vacuum day late ordered march,71
162,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,SoundWave 300,cant log account keep showing captcha failed help,63
163,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,Vision LED TV,cant log account keep showing captcha failed help,63
164,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white?",General Inquiry,Low,ProTab X1,tell protab x warranty also available white,82
165,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in red?",General Inquiry,High,PowerMax Battery,tell powermax battery warranty also available red,87
166,"Account problem. Assistance needed. Also, I contacted support on 12 March but got no response.",Account Access,Medium,PowerMax Battery,account problem assistance needed also contacted support march got response,94
167,"Can't log in to my account. Keeps showing error. Help! Also, I contacted support on 23 March but got no response.",Account Access,Low,PowerMax Battery,cant log account keep showing error help also contacted support march got response,113
168,"Order #58396 for PowerMax Battery is 16 days late. Ordered on 03 April. Also, I contacted support on 03 April but got no response.",Late Delivery,High,PowerMax Battery,order powermax battery day late ordered april also contacted support april got response,130
169,Payment issue for my SoundWave 300. I was not refunded for order #45749.,Billing Problem,High,SoundWave 300,payment issue soundwave refunded order,72
170,Payment issue for my Vision LED TV. I was debited incorrectly for order #63168.,Billing Problem,High,Vision LED TV,payment issue vision led tv debited incorrectly order,79
171,Account problem. Assistance needed.,Account Access,High,FitRun Treadmill,account problem assistance needed,35
172,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in blue?",General Inquiry,Low,EcoBreeze AC,tell ecobreeze ac warranty also available blue,84
173,Order #84031 for SmartWatch V2 is 6 days late. Ordered on 04 March.,Unknown,Low,SmartWatch V2,order smartwatch v day late ordered march,67
174,"Received wrong product, order mixed up.",Wrong Item,Medium,EcoBreeze AC,received wrong product order mixed,39
175,Can't log in to mi account. Keeps showing unknown issue. Help!,Account Access,Medium,EcoBreeze AC,cant log mi account keep showing unknown issue help,62
176,Is this item in stock? Delivery expected by 05 May.,General Inquiry,Medium,SoundWave 300,item stock delivery expected may,51
177,Can't log in to my account. Keeps showing reset required. Help!,Account Access,High,SoundWave 300,cant log account keep showing reset required help,63
178,"Can't access my account. Also, I contacted support on 12 May but got no response.",Account Access,High,SmartWatch V2,cant access account also contacted support may got response,81
179,Order #34198 for SmartWatch V2 is 15 days late. Ordered on 05 March.,Late Delivery,Medium,SmartWatch V2,order smartwatch v day late ordered march,68
180,Facing installation issue with SoundWave 300. Setup fails at step 4.,Installation Issue,Low,SoundWave 300,facing installation issue soundwave setup fails step,68
181,Facing installation issue with RoboChef Blender. Setup fails at step 6.,Installation Issue,Low,RoboChef Blender,facing installation issue robochef blender setup fails step,71
182,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in red? Also, I contacted support on 16 March but got no response.",General Inquiry,High,SmartWatch V2,tell smartwatch v warranty also available red also contacted support march got response,143
183,Can't log in to my account. Keeps showing reset required. Help!,Account Access,High,Vision LED TV,cant log account keep showing reset required help,63
184,Payment issue for my FitRun Treadmill. I was overbilled for order #81052.,Billing Problem,High,FitRun Treadmill,payment issue fitrun treadmill overbilled order,73
185,"I ordered SmartWatch V2 but got PowerMax Battery instead. My order number is #37056. Also, I contacted support on 06 May but got no response.",Wrong Item,Low,SmartWatch V2,ordered smartwatch v got powermax battery instead order number also contacted support may got response,141
186,PowerMax Battery is not working. It stopped working after just 5 days.,Product Defect,Low,PowerMax Battery,powermax battery working stopped working day,70
187,Order #35506 for EcoBreeze AC is 8 days late. Ordered on 27 March.,Late Delivery,High,EcoBreeze AC,order ecobreeze ac day late ordered march,66
188,RoboChef Blender is malfunction. It stopped working after just 3 days.,Product Defect,High,RoboChef Blender,robochef blender malfunction stopped working day,70
189,Both my PhotoSnap Cam and SoundWave 300 are cracked. Both giving issues. Delivery expected by 17 March.,Product Defect,Medium,PhotoSnap Cam,photosnap cam soundwave cracked giving issue delivery expected march,103
190,Facing installation issue with RoboChef Blender. Setup fails at step 2.,Installation Issue,Medium,RoboChef Blender,facing installation issue robochef blender setup fails step,71
191,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in red?",General Inquiry,High,UltraClean Vacuum,tell ultraclean vacuum warranty also available red,88
192,Facing installation issue with Vision LED TV. Setup fails at step 5.,Unknown,Medium,Vision LED TV,facing installation issue vision led tv setup fails step,68
193,I ordered EcoBreeze AC but got PowerMax Battery instead. My order number is #70963.,Wrong Item,Medium,EcoBreeze AC,ordered ecobreeze ac got powermax battery instead order number,83
194,Order #86969 for FitRun Treadmill is 16 days late. Ordered on 04 May.,Unknown,Low,FitRun Treadmill,order fitrun treadmill day late ordered may,69
195,"Payment issue fr mi PhotoSnap Cam. I was not refunded fr order #55921. Also, I contacted support on 09 March but got no response.",Billing Problem,Low,PhotoSnap Cam,payment issue fr mi photosnap cam refunded fr order also contacted support march got response,129
196,Vision LED TV is late. It stopped working after just 7 days.,Unknown,High,Vision LED TV,vision led tv late stopped working day,60
197,"Not able to install my product. Also, I contacted support on 09 March but got no response.",Installation Issue,Medium,PowerMax Battery,able install product also contacted support march got response,90
198,I ordered SmartWatch V2 but got SmartWatch V2 instead. My order number is #52790.,Unknown,Medium,SmartWatch V2,ordered smartwatch v got smartwatch v instead order number,81
199,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,PhotoSnap Cam,cant log account keep showing unknown issue help,62
200,"I ordered UltraClean Vacuum but got UltraClean Vacuum instead. My order number is #31416. Also, I contacted support on 02 April but got no response.",Wrong Item,High,UltraClean Vacuum,ordered ultraclean vacuum got ultraclean vacuum instead order number also contacted support april got response,148
